what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456064826908
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1456064831861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1456064832274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1456064833000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1456064833469
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1456064844069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456064859421
started,bundle,org.eclipse.linuxtools.profiling.launch,0.7.0.201101251503,"org.eclipse.linuxtools.profiling.launch",1456064861123
started,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.launch",1456064861124
started,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201101251503,"org.eclipse.linuxtools.oprofile.launch",1456064861131
started,bundle,org.eclipse.linuxtools.valgrind.core,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.core",1456064861144
started,bundle,org.eclipse.linuxtools.valgrind.launch,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.launch",1456064861149
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456064863115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456064863447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456064864431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456064866911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456064869040
