what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072072188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072100639
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456072102716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1456072102912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1456072103475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1456072105200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456072107837
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456072108640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072109000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072109704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072114463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072204165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072204902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072210863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456072221584
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456072222691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072223041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072223798
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456072237472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1456072241783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072241796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456072246727
