what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1452891514826
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1452891514915
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1452891514950
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1452891516416
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1452891530680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891533396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891533540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891533563
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1452891534854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891534886
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1452891544283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891546414
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1452891548263
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1452891548342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1452891548342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891548358
closed,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1452891548417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891553887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891570206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891589845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891597172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891604435
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1452891642710
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1452891642729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452891642860
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1452891645841
