what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1456074496706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1456074497101
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074498616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1456074499936
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1456074503097
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456074511210
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074514882
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1456074517520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1456074517993
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074520498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1456074522825
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456074525803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456074532062
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456074533153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074533490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074534464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074538595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074541294
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074549281
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1456074554552
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074557134
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074558318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456074559859
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074560969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456074567232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1456074567425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1456074567823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1456074569415
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1456074570780
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1456074573477
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1456074573961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456074580747
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456074581859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074582232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074582962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456074587642
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456074588116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074588483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456074589595
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1456074594968
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456074609617
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1456074611937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456080732672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456080901522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456080907324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082894614
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456082895465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082911609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082936143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082938792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082939629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082940568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082986675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1456082991141
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1456082993614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082993999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456082994877
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1456082998869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083015771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083025054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083026253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083067229
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1456083067260
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1456083072245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083089716
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1456083091503
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.massif",1456083092553
stopped,bundle,org.eclipse.birt.chart.device.svg,2.6.2.r262_v20101230,"org.eclipse.birt.chart.device.svg",1456083092576
