what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745632652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455745656463
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455745658981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745659330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745660384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455745686080
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455745689624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745689981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745690853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745694701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745696857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455745716338
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455745719413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745719767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745720618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745725439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745730403
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1455745734313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455745737719
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455745740988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455745741390
